순번,게시판 종류,게시판 제목,작성자,작성일,조회수
6334,보안공지,Mozilla 제품 보안 업데이트 권고,취약점분석팀,2024-03-25,113045
6335,첨부파일 게시판,내서버 돌보미 서버 대장 양식,관리자,2024-03-26,0
6336,보안공지,구글 Chrome 브라우저 보안 업데이트 권고,취약점분석팀,2024-03-28,109079
6337,보안공지,XZ-Utils 보안 주의 권고,취약점분석팀,2024-04-01,109665
6338,보안공지,리눅스 커널 보안 업데이트 권고,취약점분석팀,2024-04-01,110946
6339,보안공지,윈도우 도움말 파일(CHM)악용 해킹수법 주의 권고,박지희,2024-04-02,112595
6340,보안공지,리눅스 커널 보안 업데이트 권고,취약점분석팀,2024-04-02,114701
6341,공지사항,최정예 정보보호 전문인력 양성 교육(K-Shield) 안내,정주비,2024-04-03,3903
6342,보안공지,Ivanti 제품 보안 업데이트 권고,취약점분석팀,2024-04-04,113778
6343,보안공지,WordPress 플러그인 보안 업데이트 권고,취약점분석팀,2024-04-04,115219
6344,보안공지,모코엠시스 Mpower 제품 보안 주의 권고,취약점분석팀,2024-04-04,121619
6345,보안공지,Adobe 제품 보안 업데이트 권고,취약점분석팀,2024-04-08,111396
6346,보안공지,Cisco 제품 보안 주의 권고,취약점분석팀,2024-04-08,112011
6347,보안공지,Broadcom 제품 보안 업데이트 권고,취약점분석팀,2024-04-08,111465
6348,보안공지,LG 제품 보안 업데이트 권고,취약점분석팀,2024-04-11,105409
6349,보안공지,Fortinet 제품 보안 업데이트 권고,취약점분석팀,2024-04-11,108486
6350,보안공지,MS 4월 보안 위협에 따른 정기 보안 업데이트 권고,취약점분석팀,2024-04-11,112085
6351,보안공지,Palo Alto Networks 제품 보안 업데이트 권고,취약점분석팀,2024-04-15,101069
6352,FAQ,정기 훈련과 관련하여 궁금한 사항은 어디로 문의할 수 있나요?,관리자,2024-04-16,620
6353,FAQ,정기 훈련에 참여하면 상시훈련은 참여하지 못하나요?,관리자,2024-04-16,619
6354,FAQ,DDoS 공격 유형과 시간은 어떻게 되나요?,관리자,2024-04-16,599
6355,FAQ,DDoS 공격 규모는 어떻게 정해야 할까요?,관리자,2024-04-16,619
6356,FAQ,DDoS 공격 대응 훈련 대상 및 진행 방식은 어떻게 되나요?,관리자,2024-04-16,642
6357,FAQ,해킹 메일 훈련으로 메일을 열람하거나 본문 내 악성 링크를 클릭했을 경우 임직원 PC에 영향이 없을까요?,관리자,2024-04-16,730
6358,FAQ,사이트를 여러 개 운영 중에 있습니다. 모두 다 서비스를 받는 것이 가능한가요?,관리자,2024-04-16,748
6359,FAQ,신청한 훈련은 모두 수행이 가능할까요?,관리자,2024-04-16,774
6360,FAQ,정기 모의훈련 일정은 어떻게 되나요?,관리자,2024-04-16,870
6361,FAQ,정기 모의 훈련에 참여하고자 합니다. 비용은 어느정도 되나요?,관리자,2024-04-16,932
6362,FAQ,사이버 위기대응 모의훈련이 무엇인가요?,관리자,2024-04-16,1313
